Proyecto,Módulo,Desarrollador,Líneas de código,Número de bugs,Tiempo de desarrollo (horas),Costo (USD),Satisfacción del cliente,Antigüedad del desarrollador (años),Idioma de programación,Plataforma,Tipo de proyecto,Fase del proyecto,Tamaño del equipo,Tecnologías
"Johnson, Williams and Smith",they,Michael Beltran,8105,13,55,98276,3,7,Kotlin,Desktop,Application,Development,2,"court, mouth, cup"
"Stokes, Nguyen and Gallagher",education,Richard Horton,4165,39,148,53667,3,13,Javascript,Web,Management System,Development,1,"clearly, perform, smile"
Carter PLC,offer,Jessica Gallegos,8983,26,368,28937,3,1,Javascript,Mobile,Application,Development,2,"whether, either, style"
Martin and Sons,middle,Mario Patel,8770,30,370,77995,2,13,Python,Web,Management System,Development,8,"parent, meeting, prepare"
Smith-Soto,one,Marc Lopez,3822,46,176,65860,5,15,Javascript,Desktop,Management System,Testing,1,"child, represent, rock"
Bryant-Allen,expect,Richard Perez,131,14,483,3068,1,7,Python,Web,Application,Testing,7,"seem, bank, little"
Doyle LLC,image,Samantha Reyes,4874,12,437,34284,3,10,Kotlin,Web,Management System,Deployment,3,"use, fine, ask"
Glover PLC,good,Jonathan Schneider,1950,28,402,73773,4,1,Java,Desktop,Management System,Deployment,7,"other, road, place"
Brown Ltd,two,Lori Nelson,2535,34,285,81515,3,2,Python,Desktop,Management System,Design,9,"walk, life, energy"
"Holmes, Bell and Robinson",officer,Donald Brown,267,26,86,78170,3,9,Python,Desktop,Application,Development,10,"happy, adult, four"
"Mcgee, Nash and Chandler",program,Brenda Collins,7636,37,497,89998,5,8,Python,Mobile,Web site,Deployment,9,"deep, represent, information"
Simpson-Floyd,drug,Becky Petersen,2564,48,255,30534,5,12,Javascript,Mobile,Application,Development,3,"pay, current, take"
Hammond and Sons,create,Pamela Taylor,8724,28,175,97538,5,8,Java,Desktop,Application,Testing,3,"head, end, seek"
Contreras Inc,address,Cody Barker Jr.,9411,28,64,39296,5,2,Javascript,Mobile,Application,Deployment,8,"practice, home, fill"
"Smith, Tate and Stephenson",worker,Jacob Gould,7361,19,488,4454,5,4,Javascript,Web,Application,Development,10,"create, moment, across"
Miller LLC,far,Emma Wright,3252,22,17,26991,2,7,Javascript,Web,Application,Testing,8,"wrong, evidence, either"
"Goodman, Bowers and Wilcox",why,William Carter,9003,46,152,61267,1,1,Kotlin,Mobile,Management System,Development,3,"tough, hotel, deep"
"Brown, Contreras and Garrett",report,Tamara Green,3781,42,400,36439,1,10,Kotlin,Web,Management System,Development,1,"support, poor, significant"
"Bond, Ali and Garner",rate,Mary Lewis,9469,22,328,65162,1,13,Java,Mobile,Web site,Design,8,"maintain, country, consider"
"Kelly, Moore and Stanley",fall,Robin Anderson,1762,19,151,59850,3,8,Java,Mobile,Management System,Development,1,"mother, financial, night"
"Taylor, Lopez and Taylor",draw,Michelle Lawrence,4359,44,496,20281,5,10,Javascript,Web,Management System,Testing,1,"modern, form, well"
"Bell, Andersen and Robinson",democratic,Christopher Nash Jr.,424,36,92,30797,1,11,Kotlin,Mobile,Web site,Deployment,9,"cold, short, she"
"Jones, Chan and Waters",knowledge,Joseph Mitchell,126,5,305,17649,5,8,Java,Mobile,Management System,Development,1,"significant, company, four"
Smith LLC,myself,Steven Perez,1365,2,143,84498,5,10,Java,Desktop,Application,Design,4,"difficult, card, together"
"Mathis, Buckley and Carroll",military,Stephen Parker,6018,19,477,34155,4,8,Kotlin,Mobile,Application,Design,5,"why, scientist, strategy"
Cochran-Walker,magazine,Julie Moyer,3964,29,97,24427,4,8,Java,Web,Web site,Design,10,"building, human, finish"
Fisher-Bauer,have,Mason Mercer,683,18,272,29813,3,9,Python,Mobile,Web site,Development,3,"would, garden, sound"
Shaw Group,let,Alex Thomas,6220,27,474,56545,5,8,Javascript,Desktop,Application,Deployment,2,"person, over, under"
"Kaiser, Allen and Jones",past,Alicia Rosales,8035,26,185,56447,3,15,Kotlin,Desktop,Application,Testing,9,"always, health, garden"
"Ware, Thomas and Wallace",simple,Keith Gutierrez,3831,49,297,27441,5,12,Java,Mobile,Web site,Deployment,6,"rate, rock, budget"
Hunter-Vincent,spring,David Rivera,7291,27,57,34076,3,2,Python,Web,Management System,Development,4,"must, require, yourself"
Morris-Rios,reality,Rebecca Kline,5272,11,195,29631,5,9,Java,Mobile,Application,Testing,8,"meeting, smile, doctor"
Patterson LLC,fear,Eric Frye,770,15,347,99786,2,9,Javascript,Mobile,Management System,Deployment,9,"land, other, personal"
Greene-Munoz,knowledge,Calvin Rodriguez,2898,47,157,65436,3,9,Kotlin,Web,Application,Design,4,"somebody, middle, figure"
Stone-Wood,draw,Sean Young,541,47,286,47929,5,1,Java,Web,Application,Deployment,7,"to, direction, right"
Carroll-Wilson,young,Mallory Schneider,8934,44,376,81125,3,9,Java,Mobile,Web site,Design,9,"watch, goal, discussion"
Brown-Smith,career,Christopher Thomas,3835,6,48,27550,1,4,Kotlin,Web,Management System,Testing,10,"power, task, authority"
Barnett Group,win,Carol Thompson,1924,28,446,80300,2,11,Javascript,Web,Application,Testing,6,"natural, though, past"
"Jackson, Garcia and Sanchez",several,Jessica Walters,5609,22,50,84861,1,2,Python,Web,Management System,Testing,3,"security, make, stay"
"Murphy, Ferguson and Sullivan",something,Paul Mcgrath,7116,45,96,41366,4,14,Javascript,Desktop,Application,Deployment,9,"man, alone, just"
"Gomez, Terry and Bates",never,Erica Hutchinson,1436,0,68,52603,3,10,Kotlin,Mobile,Application,Design,4,"whose, knowledge, opportunity"
Green-Giles,road,Andrea Rangel,3002,6,155,58973,2,6,Python,Web,Management System,Deployment,9,"chance, send, here"
Scott Group,person,Derek Jones PhD,8205,6,443,22567,1,11,Kotlin,Web,Application,Deployment,4,"soldier, defense, Mrs"
Erickson-Vasquez,continue,Deanna Smith,6697,31,418,37540,3,15,Java,Web,Application,Testing,2,"guy, that, middle"
"Nicholson, Dunn and West",single,Daniel Flores,4194,21,42,50927,3,4,Java,Desktop,Web site,Deployment,8,"newspaper, phone, on"
"Roberts, Williams and Arroyo",term,David Rowe,9854,37,59,18161,2,3,Java,Desktop,Web site,Testing,4,"writer, she, believe"
"Kim, Martinez and Schmidt",size,Bruce Orr,7991,48,233,16518,4,15,Javascript,Desktop,Application,Deployment,6,"play, campaign, but"
"Carter, Fitzgerald and Nelson",happen,Hannah Floyd,8925,1,370,62201,2,8,Javascript,Mobile,Management System,Development,3,"story, top, late"
Wong Ltd,smile,Wanda Randall,4804,42,22,11251,5,1,Kotlin,Web,Application,Design,7,"without, not, first"
"Guerrero, Doyle and Haney",director,Jerry Nicholson,2963,28,277,31207,5,12,Javascript,Mobile,Web site,Development,4,"investment, floor, member"
Huffman PLC,old,Brittany King,7303,35,16,58431,2,15,Java,Desktop,Web site,Testing,9,"country, spring, field"
"Ayala, Graves and Hardin",human,Brian Klein,3434,21,262,90650,5,6,Python,Mobile,Web site,Design,1,"Republican, southern, federal"
"Duncan, Ross and Mcneil",commercial,Christine Wheeler,3190,35,309,58061,2,10,Javascript,Mobile,Management System,Deployment,10,"first, effort, capital"
"Cole, Moody and Randolph",stuff,Chase Skinner,1259,10,462,12080,4,14,Javascript,Desktop,Application,Design,8,"fund, standard, receive"
Ramos-Murray,smile,James Jones,2482,46,399,74625,4,4,Python,Web,Application,Deployment,7,"time, marriage, by"
"Francis, Hays and Robertson",moment,Kaitlyn Walker,6195,35,310,81989,2,8,Java,Web,Management System,Development,9,"ahead, agent, skin"
"Morris, Martinez and Perez",best,Kevin Bryant,4772,42,153,1588,5,11,Javascript,Mobile,Web site,Design,7,"audience, bar, bill"
"Watson, Wagner and Thompson",short,Miss Elizabeth Sanchez,2682,33,89,51487,2,3,Java,Mobile,Web site,Testing,10,"Republican, policy, soon"
"Wilson, Huynh and Newton",fear,Ashley Brown,9426,44,240,56659,1,4,Python,Mobile,Web site,Development,10,"along, rate, most"
Rodriguez Ltd,guy,Aaron Clayton,8144,31,55,76718,3,12,Kotlin,Desktop,Web site,Development,5,"employee, interesting, believe"
Kent-Hobbs,cell,Carrie Taylor,9725,20,229,9435,3,12,Java,Desktop,Application,Deployment,1,"certainly, reason, worry"
"Jones, Long and Hess",religious,Michael Williams,7986,3,233,31727,1,15,Javascript,Desktop,Application,Development,10,"far, seek, hour"
Baker Ltd,economic,Christopher Boyd,3913,30,463,37804,1,15,Javascript,Desktop,Management System,Design,7,"five, reality, else"
"Miller, Ward and Herman",girl,Judith Harper,9268,36,439,82889,1,15,Java,Mobile,Application,Design,9,"guess, create, just"
"Brown, Calderon and Lynch",true,Stephen Curry,3011,21,316,83517,2,4,Python,Mobile,Management System,Deployment,9,"interesting, after, win"
Rice Inc,home,Crystal Pearson,7930,25,296,16403,1,2,Kotlin,Mobile,Web site,Development,8,"after, watch, from"
Jones PLC,within,Angela Howard,4713,40,101,23636,3,10,Java,Desktop,Web site,Deployment,7,"against, help, down"
Calderon-Lewis,house,Terry Gonzalez,3277,19,310,5452,4,11,Javascript,Web,Web site,Development,5,"light, mean, discussion"
Coleman and Sons,grow,Carly Hicks,3932,49,224,40616,5,2,Python,Mobile,Web site,Design,1,"assume, shoulder, appear"
"Sampson, Fields and Edwards",policy,Michael Medina,8404,15,297,80873,2,10,Python,Mobile,Management System,Development,4,"tonight, conference, if"
"Becker, Freeman and Murphy",project,Emily Armstrong,1133,4,121,7781,1,1,Kotlin,Web,Application,Testing,1,"lay, since, itself"
Chavez Group,always,Kyle Young,4439,6,160,11829,3,12,Python,Web,Web site,Deployment,8,"seat, challenge, grow"
"Jones, Hawkins and Hughes",up,Miranda Anderson,2906,1,430,40979,1,14,Javascript,Web,Application,Development,2,"every, a, off"
Khan-Sanchez,most,Cory Jennings,1816,41,178,93435,5,6,Python,Web,Web site,Deployment,9,"former, describe, pressure"
"Guzman, Wade and Kennedy",get,Tristan Schmidt,7470,24,352,16928,5,5,Python,Mobile,Management System,Deployment,8,"scene, area, strong"
Reed Ltd,perform,Brooke White,254,7,169,14299,2,10,Python,Web,Application,Deployment,2,"suggest, environmental, seek"
Cunningham PLC,discover,Amber Crosby,4977,3,432,35230,4,5,Python,Mobile,Web site,Testing,7,"last, no, behind"
Flores-Yu,development,Matthew Johnson,2940,10,16,64310,2,15,Javascript,Mobile,Management System,Deployment,8,"whose, wide, finally"
Cox and Sons,despite,Joshua Singleton,8491,20,259,63166,1,1,Javascript,Mobile,Web site,Deployment,6,"second, Mr, wife"
Reyes-Travis,development,Brenda Walters,4634,42,233,80641,4,10,Java,Mobile,Application,Development,8,"which, study, society"
"Gray, Conway and Griffin",day,Jeffery Burton,5615,44,432,76957,3,2,Kotlin,Desktop,Application,Design,6,"trip, painting, mission"
Aguirre Ltd,war,Brenda Robinson,6467,6,305,91201,4,12,Java,Mobile,Management System,Testing,3,"leader, kind, network"
Harrison Ltd,southern,Tammy Cameron,7116,3,43,92007,4,4,Python,Web,Application,Testing,4,"look, then, really"
Rowland PLC,performance,Lisa Barnett,7942,19,96,4098,4,6,Python,Web,Management System,Design,1,"something, management, available"
Hamilton Ltd,himself,Alison Stokes,6258,50,203,7935,5,1,Kotlin,Web,Web site,Development,8,"science, feel, room"
"King, Campbell and Johnson",require,Rebecca Ramsey,2167,7,150,39796,1,4,Java,Desktop,Web site,Testing,6,"responsibility, specific, resource"
Gates Inc,read,Steven Martinez,2946,12,298,17209,3,12,Java,Desktop,Web site,Development,10,"until, form, operation"
Johnston LLC,low,Daniel Francis,2276,36,84,24293,4,5,Kotlin,Mobile,Application,Development,9,"front, decision, response"
James-Hopkins,girl,William Green,4571,17,461,34843,2,7,Java,Web,Web site,Development,4,"strategy, parent, much"
Hudson Ltd,personal,Patricia Johnson,7763,11,118,2249,3,9,Python,Web,Application,Testing,10,"television, indicate, sense"
Marshall Group,body,Bobby Escobar,1447,20,211,93766,1,4,Javascript,Mobile,Web site,Development,4,"area, local, sure"
Francis-Perez,book,James Gonzalez Jr.,8101,11,77,26873,5,6,Kotlin,Web,Management System,Design,7,"also, military, look"
"Blake, Goodwin and Griffith",produce,Michael Williams,8047,25,471,90508,2,13,Kotlin,Web,Management System,Deployment,2,"onto, front, six"
"Roberts, Henry and Park",wonder,Travis Sutton,1290,4,113,6147,1,2,Javascript,Desktop,Management System,Deployment,3,"live, clearly, mind"
Harris Inc,table,James Haas,247,32,229,91293,1,14,Java,Desktop,Web site,Testing,2,"economy, mother, middle"
Haley LLC,ability,Thomas Gibbs,7741,27,407,60241,4,6,Kotlin,Desktop,Management System,Development,5,"card, when, onto"
Wolf PLC,imagine,Shaun Wilkins,4198,28,199,24534,1,8,Python,Web,Application,Deployment,10,"key, then, act"
"Bush, Jensen and Rosales",above,Geoffrey Huff,4620,1,299,31306,5,3,Javascript,Desktop,Web site,Deployment,4,"as, life, force"
Evans-Gardner,when,Brandy Glover,6745,6,80,11489,2,14,Java,Mobile,Management System,Deployment,9,"reveal, cell, pattern"
Contreras-Cox,everything,Michael Harris,8679,44,397,12312,2,11,Python,Desktop,Management System,Development,2,"miss, begin, coach"
Becker Ltd,finally,Beth Newman,4965,38,20,22299,1,5,Python,Web,Web site,Design,7,"station, may, now"
Whitaker-Hunt,shake,Terry Gregory,5950,40,194,16311,4,13,Python,Web,Application,Deployment,1,"series, analysis, ask"
Smith Group,style,Wesley Ryan,1099,17,404,95231,3,1,Python,Web,Web site,Development,10,"at, front, difficult"
Arias-Thomas,within,Elizabeth Salinas,1751,32,122,1317,5,10,Java,Mobile,Application,Design,2,"community, across, market"
"Collins, Booker and Mcdonald",cell,Mary Morgan,5980,25,229,63056,1,13,Kotlin,Desktop,Management System,Development,5,"bed, practice, ask"
Hubbard Inc,large,Jacqueline Ramirez,7274,25,268,69590,5,14,Javascript,Desktop,Web site,Development,8,"drop, home, leader"
Lindsey Ltd,black,Dustin Knight,2442,37,279,20638,5,6,Java,Web,Management System,Testing,7,"son, place, exist"
Donovan Inc,music,Nicole Martinez,9044,34,290,45160,5,1,Java,Web,Application,Development,2,"on, international, generation"
Lyons Ltd,maybe,Michael Vance,3214,42,58,74422,4,9,Javascript,Mobile,Web site,Design,9,"case, give, decade"
Lynch Ltd,state,Robert Burch,8435,22,46,57436,3,15,Java,Web,Application,Development,9,"science, everyone, Mrs"
Brown Ltd,either,Tyrone Cervantes,2052,37,43,13292,4,12,Java,Web,Management System,Testing,9,"himself, live, out"
Dyer-Wilson,scientist,Kylie Hawkins,5507,18,12,79950,4,11,Python,Web,Web site,Testing,8,"investment, in, citizen"
Cole-Thompson,myself,Laura Vang,8276,8,26,52584,1,3,Python,Desktop,Web site,Development,6,"light, garden, group"
Taylor-Wiggins,color,Angela Cortez,4566,32,43,99862,3,9,Javascript,Mobile,Management System,Design,9,"after, treat, analysis"
Horne-Green,table,Angela Hunter,2368,37,112,34645,2,1,Java,Desktop,Management System,Testing,6,"gun, determine, adult"
King and Sons,body,Dillon Rhodes,6958,38,77,42421,1,9,Kotlin,Web,Management System,Deployment,7,"former, right, responsibility"
"Reed, Lawrence and Williams",follow,Mary Horn,8009,2,165,63312,5,8,Kotlin,Web,Application,Design,10,"win, now, that"
Briggs Inc,TV,Heather Mcmahon,711,31,67,14771,5,14,Python,Desktop,Web site,Testing,6,"if, structure, large"
"Gonzalez, Stanley and Johnson",myself,Alexandria Johnson,6881,24,59,8285,4,2,Javascript,Web,Web site,Development,2,"practice, though, almost"
Weaver-Young,state,Katherine Williams,9527,26,120,22898,4,13,Java,Web,Management System,Deployment,4,"bank, eye, traditional"
Walker-Barnes,while,Lauren Hernandez,6864,28,291,20630,3,11,Kotlin,Web,Application,Design,3,"animal, do, memory"
Martin PLC,process,Corey Howard,8893,19,332,82361,3,13,Kotlin,Desktop,Application,Testing,4,"but, fly, statement"
Rodriguez-Mccoy,coach,Kiara Barnett,2113,6,18,42740,2,15,Java,Desktop,Web site,Testing,3,"race, ten, seem"
"Foster, Jones and Coleman",case,Peter Coleman,9878,45,439,48724,1,6,Python,Desktop,Web site,Deployment,5,"anything, foreign, buy"
Mccoy and Sons,must,Leah Barker,6783,31,162,98190,5,2,Kotlin,Desktop,Application,Design,6,"which, wind, on"
Holder Inc,sense,Maria Joseph,9500,17,426,12993,4,1,Javascript,Desktop,Management System,Development,2,"eye, own, heavy"
Acosta-Collins,media,Kathleen Baldwin,7200,45,379,75300,1,6,Kotlin,Web,Application,Design,9,"local, rather, price"
Greene-Hall,American,Charles Allen,7900,37,231,31310,2,8,Javascript,Web,Web site,Design,6,"standard, inside, too"
Hodges and Sons,foreign,Alexa Barker,2024,11,312,56319,1,12,Java,Web,Web site,Testing,4,"majority, sound, subject"
Mckenzie-Delgado,tree,Jerry Jones,139,17,66,56758,4,5,Kotlin,Mobile,Management System,Development,1,"as, arm, present"
"Rivas, Wallace and Olson",put,Dustin Hutchinson,642,20,230,2864,4,3,Javascript,Desktop,Application,Testing,8,"because, behavior, adult"
Owens and Sons,teacher,Kimberly Meyers,7078,47,247,73341,5,6,Javascript,Desktop,Application,Design,5,"site, face, service"
"Hurst, Elliott and Williams",house,Christopher Coleman,3833,14,260,74639,5,9,Python,Web,Web site,Deployment,5,"up, institution, anything"
"Foster, Simpson and Ball",gas,Amy Russell,9446,20,462,79356,5,3,Java,Web,Web site,Development,5,"simply, me, important"
Sanders Inc,travel,Erika Clark,5300,47,402,11857,1,9,Python,Desktop,Application,Deployment,10,"mean, firm, article"
Vaughn-Sanchez,eight,Shannon Atkins,1628,23,439,47922,3,8,Javascript,Desktop,Application,Testing,2,"open, according, letter"
"Olson, Gonzales and Holloway",often,Sara Bradshaw,1617,9,22,9816,5,1,Python,Mobile,Management System,Design,10,"indicate, high, until"
Coleman LLC,road,Timothy Martinez,1606,15,65,67232,4,10,Javascript,Mobile,Management System,Development,4,"fund, cultural, artist"
Edwards-Wood,stop,Jane Marshall,2583,15,12,93192,1,2,Kotlin,Web,Management System,Deployment,7,"pressure, move, bit"
"Hinton, Barnett and Martin",bring,Benjamin Lopez,4232,14,279,28115,3,2,Java,Web,Application,Design,2,"together, child, follow"
Johnson-Carr,into,Jason Dennis,660,34,454,69032,1,15,Python,Web,Application,Development,9,"interest, cup, ahead"
"Miller, Green and Contreras",choice,David Stewart,8557,42,436,47961,4,12,Javascript,Web,Web site,Design,7,"fear, prove, time"
"Johnson, Gomez and Alvarez",home,Dennis Barron,6407,23,187,78986,3,7,Kotlin,Mobile,Web site,Development,4,"first, garden, fly"
"Taylor, Jackson and Fischer",off,Ann Davis,6789,19,457,24780,1,10,Java,Web,Application,Design,6,"sing, how, only"
George Inc,personal,Marvin Moore,6888,49,371,6476,1,15,Python,Desktop,Management System,Development,5,"beyond, wind, write"
Proctor-Young,industry,Raymond Smith,288,26,136,6541,5,14,Javascript,Desktop,Application,Testing,9,"step, certain, able"
Collins-Mendez,draw,Taylor Brady,6265,17,454,25544,3,2,Java,Mobile,Application,Design,4,"outside, partner, clearly"
Bell-Mitchell,true,Ronald Tucker,7552,6,203,42174,2,15,Java,Mobile,Application,Deployment,9,"strategy, recent, evidence"
"Morales, Watts and Garcia",shoulder,Joseph Rodriguez,4836,2,454,7919,4,5,Javascript,Desktop,Web site,Testing,3,"create, nice, ever"
Baker PLC,why,Amanda Campbell,8232,37,330,80933,3,4,Java,Mobile,Application,Deployment,10,"bring, specific, relate"
"Ortiz, Glass and Espinoza",subject,Joshua Rhodes,5019,23,333,89727,5,9,Kotlin,Desktop,Management System,Testing,6,"wrong, control, get"
Allen-Miller,behind,Veronica Krause,1479,5,236,30965,2,4,Kotlin,Desktop,Web site,Testing,5,"hear, rock, land"
Decker and Sons,think,Kevin Smith,9994,10,339,24239,4,3,Javascript,Desktop,Management System,Testing,1,"voice, draw, traditional"
Villegas-Hart,player,Natalie Mayer,8107,45,101,56863,4,6,Python,Mobile,Web site,Deployment,3,"think, several, win"
"Kaiser, Gonzalez and Kirk",hold,Dennis Mercer,2343,20,347,86342,1,7,Python,Web,Application,Testing,3,"moment, rise, record"
Mercado-Robles,bring,Eric Stein,8093,11,309,67273,4,10,Javascript,Mobile,Management System,Testing,8,"clearly, really, position"
Mckenzie PLC,agent,Anthony Perkins,4086,23,20,66144,3,6,Javascript,Web,Web site,Deployment,2,"choice, position, best"
"Gallagher, Sanchez and Velasquez",mention,Robert Shepherd,9899,30,210,50995,2,11,Javascript,Mobile,Application,Deployment,1,"wrong, late, opportunity"
"Proctor, Dean and Price",stuff,Nathan Horton,1171,49,102,22986,4,7,Kotlin,Mobile,Web site,Design,8,"machine, catch, political"
"Sullivan, Williams and Young",step,Shaun Hayes,3907,47,440,20696,4,1,Python,Mobile,Web site,Design,5,"turn, person, herself"
"Turner, Clarke and Tanner",analysis,Cynthia Lewis,1355,48,390,52033,5,12,Java,Mobile,Management System,Development,5,"benefit, blue, top"
Mercado-Cooper,state,Melissa Garcia,1360,34,476,96286,1,12,Python,Mobile,Web site,Design,2,"bring, style, difficult"
"Taylor, Pugh and Brown",perhaps,Kim Johnson,1724,49,365,7203,5,12,Kotlin,Desktop,Application,Design,10,"under, him, city"
"Smith, Sims and Rodriguez",form,Michael Gonzalez,1309,4,200,99415,5,6,Javascript,Web,Application,Deployment,1,"million, book, news"
Campbell-Hudson,offer,Matthew James,2746,45,346,37137,2,10,Java,Desktop,Application,Testing,1,"fight, born, process"
Martinez Ltd,bank,Jeremy Wagner,105,28,81,12032,4,14,Java,Desktop,Management System,Deployment,7,"affect, per, long"
Smith-Davis,lawyer,Dr. Claudia Davis DDS,1603,48,400,89120,5,7,Java,Desktop,Web site,Deployment,9,"level, necessary, agent"
Hernandez PLC,benefit,Mary Carpenter,1807,50,461,85902,3,3,Python,Web,Application,Development,6,"result, industry, the"
Delgado LLC,company,Dustin Bates,1623,47,21,33088,2,11,Python,Desktop,Management System,Deployment,1,"remain, over, career"
"Lopez, Davis and Houston",everyone,Monica Jones,5076,19,299,62492,2,6,Javascript,Web,Management System,Development,5,"nation, large, sell"
Edwards-Cowan,follow,Benjamin Perez,3754,44,488,34422,3,4,Python,Mobile,Management System,Design,5,"south, matter, sell"
"Case, Ochoa and Chambers",history,James Smith,4534,34,434,95855,5,9,Python,Desktop,Application,Testing,9,"protect, they, song"
"Carter, Taylor and Jones",step,Mark Williams MD,6798,12,136,15651,4,5,Java,Web,Application,Development,7,"day, would, recent"
"Mueller, English and Vasquez",project,Karina Steele,4883,43,344,25781,1,10,Python,Mobile,Web site,Deployment,5,"return, rule, production"
Salas-Huff,dark,Antonio Sanchez,5658,2,317,29830,4,15,Kotlin,Web,Management System,Deployment,4,"must, ability, factor"
"Compton, Guerrero and Anderson",around,Thomas Henry,5588,45,495,59520,1,2,Kotlin,Mobile,Application,Design,2,"church, tax, energy"
Rodriguez Ltd,eye,Brandon Williamson,6293,13,208,58630,5,8,Kotlin,Mobile,Application,Testing,8,"weight, newspaper, reveal"
Howell-Rodriguez,debate,Benjamin Cross,4504,3,340,93340,4,5,Kotlin,Desktop,Web site,Deployment,10,"process, back, just"
Adams-Skinner,beautiful,Kenneth Bradshaw,7288,34,250,66145,1,8,Javascript,Web,Web site,Design,5,"draw, shoulder, call"
Adams-Peterson,it,Jessica Greene,313,42,492,89646,5,8,Javascript,Web,Web site,Testing,7,"night, certainly, cut"
Richards-Dunn,perform,Rodney Good,4468,41,484,25603,3,13,Kotlin,Desktop,Management System,Design,2,"left, foreign, miss"
Moore-Sanchez,lose,Luke Johnson,2554,11,148,43641,3,6,Java,Mobile,Web site,Testing,9,"same, enjoy, easy"
Orozco and Sons,enough,Alexander Flynn,1686,2,173,58175,4,5,Javascript,Mobile,Application,Development,1,"last, face, computer"
Fuller Inc,finally,Tracy Gonzalez,2003,20,434,77863,3,7,Javascript,Mobile,Management System,Testing,6,"necessary, send, significant"
Alexander Group,order,Kelly Reed,1171,30,211,49346,3,14,Kotlin,Mobile,Application,Testing,5,"wait, south, people"
Wiggins-Smith,cultural,Yolanda Burton,677,45,122,12850,4,2,Python,Mobile,Application,Deployment,10,"news, appear, boy"
"Rodriguez, Harrington and Jenkins",from,Kevin Hall,4347,5,54,31268,4,4,Java,Web,Application,Design,5,"prove, together, well"
Turner-Wong,west,Dr. Dustin Morgan,4893,28,93,83946,4,9,Kotlin,Web,Application,Development,8,"bit, apply, collection"
"Lane, Guzman and Lee",blood,Katherine Barajas,2799,40,184,53241,5,9,Javascript,Desktop,Web site,Development,4,"available, reach, stage"
Brown-Miles,support,Douglas Elliott,6914,49,56,3843,5,9,Java,Mobile,Management System,Testing,10,"same, member, raise"
Hanson Group,see,Matthew Lewis,6554,2,201,15077,4,10,Python,Desktop,Application,Development,7,"change, law, possible"
Brown-Jacobs,her,James Jackson,195,7,156,56488,4,15,Python,Mobile,Web site,Development,3,"example, technology, final"
Adkins Ltd,room,Gina Gonzalez,9196,33,106,66126,2,10,Python,Web,Management System,Development,1,"focus, which, case"
Wilson-Trevino,quite,Angela Mckee,4260,30,214,90447,3,8,Javascript,Web,Application,Testing,6,"risk, happen, project"
Mcgee-Huerta,phone,Christopher Wong,9148,31,210,76789,1,13,Kotlin,Web,Application,Deployment,8,"piece, skill, school"
Wright PLC,increase,Natasha Fox,8447,27,249,1322,4,8,Java,Desktop,Web site,Development,4,"together, state, bring"
Monroe-Fritz,eat,Collin Hawkins,5056,40,429,94426,4,15,Javascript,Mobile,Web site,Deployment,1,"share, fill, meeting"
Mann and Sons,place,Michael Navarro,4729,28,125,73932,3,7,Python,Web,Application,Design,4,"safe, animal, because"
Bell-Cook,draw,Tonya Burns,8746,18,240,82392,3,1,Kotlin,Mobile,Web site,Development,3,"beautiful, boy, realize"
"Hansen, Rivera and Scott",fast,Craig Johnson,4082,32,215,25131,1,9,Javascript,Web,Management System,Development,5,"speech, north, benefit"
Gonzalez LLC,term,Jeffrey Hamilton,9567,0,227,73923,4,14,Javascript,Desktop,Application,Deployment,10,"assume, financial, other"
"White, Martin and Warren",hour,Jenny Perkins,6595,5,166,87109,4,6,Javascript,Web,Web site,Development,3,"newspaper, character, all"
Smith-Schultz,in,Rachel Morgan,8772,40,393,72273,5,5,Kotlin,Web,Web site,Testing,1,"however, couple, language"
Kennedy-Watkins,security,Paul Rush,1033,14,41,95045,2,6,Python,Desktop,Application,Testing,10,"surface, international, decade"
Cox Group,place,Daniel Martinez,9108,3,386,75468,3,7,Java,Web,Management System,Development,7,"himself, themselves, couple"
Wilson Group,also,Barry Lowery,7483,42,334,80790,5,1,Java,Web,Application,Deployment,4,"end, evidence, power"
Scott-Wheeler,minute,Rhonda Phelps,3660,31,297,62976,3,13,Python,Web,Web site,Testing,2,"degree, that, ever"
"Gill, Williams and Olson",agent,Lori Davis,811,5,144,22450,2,6,Java,Web,Web site,Testing,2,"great, example, factor"
Jones-Washington,by,Emily David,8922,8,396,19074,2,5,Kotlin,Mobile,Application,Deployment,10,"realize, side, plan"
Evans PLC,research,Donna Miller,1861,47,397,50377,4,9,Python,Desktop,Management System,Deployment,1,"particularly, present, three"
Boyle-Smith,year,Keith Chapman,8774,36,171,87571,2,3,Java,Desktop,Web site,Testing,1,"third, there, none"
"Rice, Alexander and Miller",scientist,Mary Holt,3817,19,368,93665,2,8,Javascript,Mobile,Application,Deployment,3,"reveal, training, sign"
Lam Group,provide,Gerald Bryant,3342,42,22,86599,4,14,Kotlin,Web,Web site,Design,9,"specific, prove, always"
Wiggins-Patton,claim,Donna Blackwell,6953,4,74,21797,1,14,Kotlin,Mobile,Application,Testing,3,"difference, building, plan"
Meyers Group,name,Alexis Bonilla,2631,30,112,48991,3,13,Python,Web,Management System,Design,8,"season, more, soon"
"Alexander, Williamson and Diaz",too,Donna Cooper,8876,19,104,33027,3,1,Javascript,Web,Application,Deployment,6,"road, serve, father"
Brewer LLC,senior,Stephanie Blackwell,276,30,168,11345,4,1,Python,Mobile,Management System,Deployment,4,"certainly, read, build"
